id,name,artists,album,danceability,energy,valence,tempo,duration_ms,popularity,explicit,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness
0KIpuVYhKUUUpjo6H5NvBY,After Midnight (feat. Clairo),"Phoenix, Clairo",After Midnight (feat. Clairo),0.639,0.82,0.667,100.013,188000,52,False,11,1,4,-5.986,0.0322,0.0153,0.00405,0.309
4yHvBNnLubDvzTy5pha08v,Polka-dot,"Postcard Boy, carwash",Polka-dot,0.445,0.836,0.314,163.972,222747,20,False,5,1,4,-5.923,0.04,0.000124,0.554,0.235
09DR0sHnQUhHOiSNttc1mv,Not Strong Enough,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",the record,0.502,0.798,0.307,126.976,234933,72,False,1,1,4,-5.909,0.0414,0.00291,1.11e-05,0.0979
5NzLgi3NkEuUZU1JHjq3Uy,Тоска,Molchat Doma,Этажи,0.387,0.583,0.372,159.953,189004,0,False,9,1,4,-5.216,0.0375,0.235,0.896,0.112
5MMZJtHOiH1RmQSSe3DJdg,Sleep On The Floor,The Lumineers,Cleopatra,0.389,0.431,0.275,142.133,211851,26,False,7,1,4,-8.061,0.0344,0.249,0,0.13
1Dp7ASSZVVOPJ85VdLpjOX,Seventeen Going Under,Sam Fender,Seventeen Going Under,0.477,0.873,0.611,161.948,302360,60,True,1,1,4,-4.946,0.0355,0.00471,0.00589,0.0813
29K6cUtPZWdhr1VbbXgVM2,The Brink,The Jezabels,The Brink,0.452,0.794,0.2,139.995,286600,0,False,6,0,4,-6.195,0.0411,0.00101,0.0526,0.336
1TCgfqkjOfvxRhrzcuMa8y,Remember Cloverland,Charli Adams,Bullseye,0.647,0.789,0.834,105.986,183627,0,False,2,1,4,-5.711,0.0258,0.00938,0,0.312
5WBnKCEsPwsvWHUZmLjS3s,Alive,Empire Of The Sun,Ice On The Dune,0.524,0.885,0.396,119.953,204591,61,False,5,1,4,-3.079,0.037,0.101,0,0.0708
3lXYJJYqh2oFL1U3yVec73,Coming of Age,Foster The People,Coming of Age,0.534,0.955,0.425,130.09,280040,0,False,7,0,4,-4.447,0.0524,0.0219,0.00573,0.322
5DH87mAbfJTKeMNN7DWomr,Recharge & Revolt,The Raveonettes,Raven in the Grave,0.399,0.933,0.719,136.953,323973,33,False,8,1,4,-1.215,0.0414,0.0245,0.0619,0.0659
0gcPlCmT36t4uzSwlIrfQh,Every Breaking Wave,U2,Songs Of Innocence (Deluxe),0.672,0.441,0.429,115.059,252162,43,False,1,0,4,-9.065,0.0268,0.00991,6.7e-06,0.109
5l9h7ALxmFWHxdFRB8ybiq,Closer to Me,The Fray,Helios,0.564,0.923,0.792,147.957,167493,27,False,9,1,4,-3.372,0.0335,0.00222,3.29e-06,0.126
35dhwUoJNlxrPyEIJkfDnx,I GOT YOU,TWICE,I GOT YOU,0.52,0.805,0.496,176.103,173240,58,False,8,1,4,-3.706,0.0551,0.0451,0,0.0935
2YuySJd7C2aoBarBP8OvzR,drifting,Night Tapes,drifting,0.584,0.732,0.515,126.294,212440,59,True,2,1,4,-7.09,0.0565,0.608,0.39,0.137
0oc7YoWV783fGr2GbdcIrz,Vacation,The Go-Go's,Vacation,0.5,0.823,0.88,156.79,179827,52,False,4,1,4,-8.64,0.0264,0.0875,0,0.316
4ao9bdN6ozxdlQ9j2rGDFy,City Of Blinding Lights,U2,How To Dismantle An Atomic Bomb,0.443,0.765,0.179,139.138,347867,0,False,8,1,4,-4.104,0.0301,0.000224,0.0447,0.111
6gMVZCELPB4uV708g7vVLW,Miracle Drug,U2,How To Dismantle An Atomic Bomb,0.369,0.695,0.134,125.155,239040,0,False,11,0,4,-5.673,0.0557,0.0064,0.000168,0.123
2DZlGxtVEdqaDOmPdS8Ixh,Best Life,"Ben Böhmer, JONAH",Hiding,0.556,0.779,0.368,135.008,239717,27,True,8,1,4,-5.7,0.0286,0.155,0.439,0.122
2gWY1fvwvKPQFFoahY4p3v,Never Need Me,Rachel Chinouriri,What A Devastating Turn of Events,0.569,0.792,0.702,75.533,205432,59,False,1,0,4,-4.283,0.057,0.062,0,0.176
